s (1,1) 49
s (2,1) 13
s (3,1) 18
s (4,1) 41
s (5,1) 91
(1,1) (1,2) 19
(2,1) (2,2) 81
(3,1) (3,2) 17
(4,1) (4,2) 56
(5,1) (5,2) 97
(1,2) (1,3) 32
(2,2) (2,3) 17
(3,2) (3,3) 45
(4,2) (4,3) 43
(5,2) (5,3) 22
(1,3) (1,4) 20
(2,3) (2,4) 54
(3,3) (3,4) 39
(4,3) (4,4) 77
(5,3) (5,4) 71
(1,4) (1,5) 63
(2,4) (2,5) 81
(3,4) (3,5) 5
(4,4) (4,5) 9
(5,4) (5,5) 51
(1,5) (1,6) 26
(2,5) (2,6) 76
(3,5) (3,6) 84
(4,5) (4,6) 98
(5,5) (5,6) 82
(1,6) (1,7) 6
(2,6) (2,7) 14
(3,6) (3,7) 33
(4,6) (4,7) 76
(5,6) (5,7) 10
(1,7) (1,8) 86
(2,7) (2,8) 90
(3,7) (3,8) 16
(4,7) (4,8) 64
(5,7) (5,8) 82
(1,8) (1,9) 69
(2,8) (2,9) 69
(3,8) (3,9) 61
(4,8) (4,9) 27
(5,8) (5,9) 20
(1,9) (1,10) 62
(2,9) (2,10) 85
(3,9) (3,10) 7
(4,9) (4,10) 42
(5,9) (5,10) 35
(1,10) (1,11) 75
(2,10) (2,11) 52
(3,10) (3,11) 75
(4,10) (4,11) 85
(5,10) (5,11) 8
(1,11) (1,12) 17
(2,11) (2,12) 71
(3,11) (3,12) 50
(4,11) (4,12) 41
(5,11) (5,12) 70
(1,12) (1,13) 24
(2,12) (2,13) 84
(3,12) (3,13) 15
(4,12) (4,13) 45
(5,12) (5,13) 51
(1,13) (1,14) 1
(2,13) (2,14) 23
(3,13) (3,14) 47
(4,13) (4,14) 2
(5,13) (5,14) 52
(1,14) (1,15) 26
(2,14) (2,15) 11
(3,14) (3,15) 54
(4,14) (4,15) 59
(5,14) (5,15) 8
(1,15) (1,16) 9
(2,15) (2,16) 72
(3,15) (3,16) 72
(4,15) (4,16) 48
(5,15) (5,16) 12
(1,16) (1,17) 11
(2,16) (2,17) 23
(3,16) (3,17) 60
(4,16) (4,17) 62
(5,16) (5,17) 41
(1,17) (1,18) 22
(2,17) (2,18) 47
(3,17) (3,18) 51
(4,17) (4,18) 41
(5,17) (5,18) 4
(1,18) (1,19) 23
(2,18) (2,19) 2
(3,18) (3,19) 37
(4,18) (4,19) 56
(5,18) (5,19) 74
(1,19) (1,20) 51
(2,19) (2,20) 40
(3,19) (3,20) 85
(4,19) (4,20) 72
(5,19) (5,20) 76
(1,1) (2,1) 32
(2,1) (1,1) 23
(2,1) (3,1) 72
(3,1) (2,1) 63
(3,1) (4,1) 70
(4,1) (3,1) 61
(4,1) (5,1) 36
(5,1) (4,1) 80
(1,2) (2,2) 47
(2,2) (1,2) 6
(2,2) (3,2) 59
(3,2) (2,2) 37
(3,2) (4,2) 52
(4,2) (3,2) 84
(4,2) (5,2) 67
(5,2) (4,2) 38
(1,3) (2,3) 58
(2,3) (1,3) 39
(2,3) (3,3) 19
(3,3) (2,3) 11
(3,3) (4,3) 48
(4,3) (3,3) 95
(4,3) (5,3) 99
(5,3) (4,3) 29
(1,4) (2,4) 46
(2,4) (1,4) 9
(2,4) (3,4) 3
(3,4) (2,4) 5
(3,4) (4,4) 22
(4,4) (3,4) 31
(4,4) (5,4) 6
(5,4) (4,4) 76
(1,5) (2,5) 42
(2,5) (1,5) 100
(2,5) (3,5) 48
(3,5) (2,5) 8
(3,5) (4,5) 90
(4,5) (3,5) 98
(4,5) (5,5) 62
(5,5) (4,5) 64
(1,6) (2,6) 83
(2,6) (1,6) 80
(2,6) (3,6) 99
(3,6) (2,6) 3
(3,6) (4,6) 49
(4,6) (3,6) 92
(4,6) (5,6) 80
(5,6) (4,6) 15
(1,7) (2,7) 10
(2,7) (1,7) 62
(2,7) (3,7) 97
(3,7) (2,7) 6
(3,7) (4,7) 69
(4,7) (3,7) 71
(4,7) (5,7) 68
(5,7) (4,7) 42
(1,8) (2,8) 54
